campaign_id,campaign_name,start_date,end_date,channel,region,impressions,clicks,conversions,spend_usd,revenue_usd,target_audience,product_category,device,year
2025_0001,Campaign_2025_0001,2025-05-30,2025-10-06,Print,South America,33092,3267,2485,12747.88,24260.57,Youth,Services,Mobile,2025
2025_0002,Campaign_2025_0002,2025-06-23,2025-12-17,TV,Asia,50063,2207,1054,24351.47,65194.57,Adults,Clothing,Mobile,2025
2025_0003,Campaign_2025_0003,2025-04-15,2025-12-02,TV,South America,30814,7318,2169,27324.66,53196.33,Adults,Electronics,Desktop,2025
2025_0004,Campaign_2025_0004,2025-05-13,2025-11-03,Email,Asia,72785,52047,35976,38204.14,91977.8,Youth,Clothing,Desktop,2025
2025_0005,Campaign_2025_0005,2025-05-26,2025-12-04,Email,Europe,59706,167,89,26697.21,56977.36,Youth,Food,Mobile,2025
2025_0006,Campaign_2025_0006,2025-06-20,2025-12-06,Search,Europe,59215,10810,9052,33505.95,37750.7,Youth,Services,Mobile,2025
2025_0007,Campaign_2025_0007,2025-06-24,2025-07-30,Print,South America,6572,4103,2118,21257.7,60278.76,Seniors,Software,Desktop,2025
2025_0008,Campaign_2025_0008,2025-03-11,2025-09-23,Email,Europe,57846,45483,21050,39752.56,106611.04,Youth,Services,Tablet,2025
2025_0009,Campaign_2025_0009,2025-04-05,2025-08-02,Social,Asia,13751,4614,2313,22467.92,42782.89,Adults,Clothing,Desktop,2025
2025_0010,Campaign_2025_0010,2025-04-09,2025-08-02,TV,Asia,27860,10354,10186,47614.69,131588.86,Adults,Software,Mobile,2025
2025_0011,Campaign_2025_0011,2025-03-03,2025-12-04,Search,Africa,99338,54536,100,24429.34,30567.67,Youth,Food,Tablet,2025
2025_0012,Campaign_2025_0012,2025-03-04,2025-03-10,Social,North America,58478,42969,25863,26836.53,57045.39,Seniors,Clothing,Desktop,2025
2025_0013,Campaign_2025_0013,2025-04-05,2025-07-02,Display,Europe,25307,10276,2039,5542.26,14411.47,Adults,Electronics,Desktop,2025
2025_0014,Campaign_2025_0014,2025-04-11,2025-11-20,Display,North America,94728,25018,4833,28440.33,66133.97,Youth,Food,Desktop,2025
2025_0015,Campaign_2025_0015,2025-02-09,2025-11-27,Display,South America,68848,26111,4471,49377.79,111876.99,Adults,Electronics,Mobile,2025
2025_0016,Campaign_2025_0016,2025-05-15,2025-07-20,Email,North America,20352,19111,16526,22115.35,61890.51,Youth,Food,Desktop,2025
2025_0017,Campaign_2025_0017,2025-01-17,2025-07-27,Search,Europe,52630,38621,18354,28973.46,65293.04,Youth,Software,Desktop,2025
2025_0018,Campaign_2025_0018,2025-01-17,2025-09-18,Search,South America,66718,21432,3391,28738.02,49632.4,Seniors,Food,Mobile,2025
2025_0019,Campaign_2025_0019,2025-06-19,2025-08-25,Display,Europe,75372,27752,4203,46635.92,61607.97,Adults,Clothing,Tablet,2025
2025_0020,Campaign_2025_0020,2025-03-12,2025-12-11,Search,South America,32832,30590,15656,9986.9,12267.16,Adults,Clothing,Mobile,2025
2025_0021,Campaign_2025_0021,2025-05-06,2025-10-18,Social,Europe,40207,15932,701,8754.18,21140.48,Adults,Clothing,Mobile,2025
2025_0022,Campaign_2025_0022,2025-01-23,2025-01-25,TV,Europe,31713,970,46,45386.2,112395.04,Youth,Software,Desktop,2025
2025_0023,Campaign_2025_0023,2025-01-25,2025-12-08,TV,Asia,67038,30799,19412,6395.7,8912.45,Seniors,Services,Mobile,2025
2025_0024,Campaign_2025_0024,2025-01-29,2025-12-20,Social,North America,75740,6710,4113,9577.56,26301.0,Adults,Software,Tablet,2025
2025_0025,Campaign_2025_0025,2025-06-02,2025-10-31,Email,Asia,62660,57030,50302,44428.23,54766.9,Adults,Food,Mobile,2025
2025_0026,Campaign_2025_0026,2025-04-11,2025-07-20,Social,South America,18842,11339,5480,37878.31,61541.24,Adults,Software,Desktop,2025
2025_0027,Campaign_2025_0027,2025-06-06,2025-10-14,Search,Europe,21692,15696,7721,25599.53,63472.09,Adults,Clothing,Desktop,2025
2025_0028,Campaign_2025_0028,2025-05-17,2025-12-16,Search,Asia,57047,10209,5235,21877.46,29933.85,Youth,Services,Mobile,2025
2025_0029,Campaign_2025_0029,2025-05-28,2025-05-28,Social,Asia,77698,64738,28316,31905.33,35697.83,Youth,Food,Tablet,2025
2025_0030,Campaign_2025_0030,2025-03-16,2025-10-23,Display,South America,1097,113,41,30409.39,36859.16,Adults,Electronics,Tablet,2025
2025_0031,Campaign_2025_0031,2025-06-19,2025-12-24,Print,Asia,37101,33499,15340,28096.42,47211.61,Youth,Software,Tablet,2025
2025_0032,Campaign_2025_0032,2025-06-17,2025-12-28,Print,South America,40774,5755,5508,25508.42,66656.76,Adults,Services,Tablet,2025
2025_0033,Campaign_2025_0033,2025-05-30,2025-06-30,TV,Europe,41935,34839,2045,20274.04,26862.19,Seniors,Clothing,Desktop,2025
2025_0034,Campaign_2025_0034,2025-05-18,2025-11-05,TV,Asia,65138,22400,486,3261.13,3865.55,Seniors,Clothing,Tablet,2025
2025_0035,Campaign_2025_0035,2025-05-06,2025-08-07,Email,Asia,8745,666,340,44363.75,109271.76,Youth,Electronics,Tablet,2025
2025_0036,Campaign_2025_0036,2025-01-05,2025-05-30,Display,Europe,27183,11808,8478,14787.36,24565.36,Seniors,Services,Tablet,2025
